customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
94,1,15,1589.51,5,4,5,545,Champions
95,1,11,946.85,5,4,5,545,Champions
96,1,20,1558.97,5,4,5,545,Champions
97,1,11,1010.17,5,4,5,545,Champions
98,1,11,1283.2,5,4,5,545,Champions
99,1,13,1682.53,5,4,5,545,Champions
100,1,11,794.5,5,4,4,544,Champions
101,1,15,1679.35,5,4,5,545,Champions
102,1,16,1672.95,5,4,5,545,Champions
103,104,5,499.48,4,3,4,434,Loyal Customers
104,1,7,526.5699999999999,5,3,4,534,Loyal Customers
105,245,12,886.84,4,4,5,445,Champions
106,275,6,631.71,4,3,4,434,Loyal Customers
107,1,19,2012.54,5,4,5,545,Champions
108,1,19,2243.7,5,4,5,545,Champions
109,169,14,1640.4,4,4,5,445,Champions
110,1,15,1368.77,5,4,5,545,Champions
111,1,12,1385.28,5,4,5,545,Champions
112,1,13,1346.1,5,4,5,545,Champions
113,1,17,2224.99,5,4,5,545,Champions
114,1,15,1417.61,5,4,5,545,Champions
115,1,11,1489.9,5,4,5,545,Champions
116,1,8,672.0899999999999,5,3,4,534,Loyal Customers
117,173,10,1096.95,4,4,5,445,Champions
118,167,13,1451.6299999999999,4,4,5,445,Champions
119,1,16,1583.84,5,4,5,545,Champions
120,1,13,1795.1100000000001,5,4,5,545,Champions
121,1,16,1610.96,5,4,5,545,Champions
122,1,10,1118.73,5,4,5,545,Champions
123,1,18,1871.05,5,4,5,545,Champions
124,356,11,991.19,4,4,5,445,Champions
125,57,12,1224.93,5,4,5,545,Champions
126,1,12,1117.89,5,4,5,545,Champions
127,1,11,1172.55,5,4,5,545,Champions
128,58,6,434.06,5,3,4,534,Loyal Customers
129,480,6,500.69,3,3,4,334,Loyal Customers
130,1,9,373.22,5,3,4,534,Loyal Customers
131,1,14,1735.35,5,4,5,545,Champions
132,1,16,1289.49,5,4,5,545,Champions
133,342,8,880.09,4,3,5,435,Loyal Customers
134,428,11,1190.35,3,4,5,345,Loyal Customers
135,373,7,654.46,4,3,4,434,Loyal Customers
136,1,17,1298.5900000000001,5,4,5,545,Champions
137,1,10,1091.1399999999999,5,4,5,545,Champions
138,1,17,1519.76,5,4,5,545,Champions
139,1,11,1156.62,5,4,5,545,Champions
140,660,7,461.85,2,3,4,234,At Risk
141,1,18,2106.8199999999997,5,4,5,545,Champions
142,1,12,957.2,5,4,5,545,Champions
143,1,11,914.79,5,4,5,545,Champions
144,1,12,1146.43,5,4,5,545,Champions
145,1,11,1276.6100000000001,5,4,5,545,Champions
146,1,6,637.7,5,3,4,534,Loyal Customers
147,1,12,886.3299999999999,5,4,5,545,Champions
148,1,9,765.2,5,3,4,534,Loyal Customers
149,1,12,1042.66,5,4,5,545,Champions
150,1,5,327.53000000000003,5,3,4,534,Loyal Customers
151,1,17,1871.56,5,4,5,545,Champions
152,1,9,742.37,5,3,4,534,Loyal Customers
153,247,11,955.31,4,4,5,445,Champions
154,69,9,1219.49,4,3,5,435,Loyal Customers
155,1,12,1274.1200000000001,5,4,5,545,Champions
156,1,17,1451.42,5,4,5,545,Champions
157,1,9,740.84,5,3,4,534,Loyal Customers
158,1,13,1520.46,5,4,5,545,Champions
159,50,13,1154.51,5,4,5,545,Champions
160,169,8,886.77,4,3,5,435,Loyal Customers
161,89,13,1487.87,4,4,5,445,Champions
162,1,10,948.55,5,4,5,545,Champions
163,82,15,1545.79,4,4,5,445,Champions
164,1,13,981.03,5,4,5,545,Champions
165,1,7,526.98,5,3,4,534,Loyal Customers
166,1,18,1834.27,5,4,5,545,Champions
167,1,14,1774.6799999999998,5,4,5,545,Champions
168,1,13,1729.5,5,4,5,545,Champions
169,1,14,1431.34,5,4,5,545,Champions
170,1,18,1808.21,5,4,5,545,Champions
171,1,14,1209.58,5,4,5,545,Champions
172,309,12,1195.38,4,4,5,445,Champions
173,131,11,707.94,4,4,4,444,Champions
174,1,23,1855.88,5,4,5,545,Champions
175,1,13,1853.2,5,4,5,545,Champions
176,1,11,1320.31,5,4,5,545,Champions
177,81,8,827.96,4,3,5,435,Loyal Customers
178,1,15,1880.72,5,4,5,545,Champions
179,1,12,2119.71,5,4,5,545,Champions
180,1,11,1068.13,5,4,5,545,Champions
181,1,10,876.2,5,4,5,545,Champions
182,1,10,1173.81,5,4,5,545,Champions
183,1,11,1164.07,5,4,5,545,Champions
184,1,22,1898.0,5,4,5,545,Champions
185,1,11,896.77,5,4,5,545,Champions
186,1,14,1377.11,5,4,5,545,Champions
187,1,13,1120.1,5,4,5,545,Champions
188,1,11,1319.87,5,4,5,545,Champions
189,1,9,841.66,5,3,5,535,Loyal Customers
190,1,12,1223.65,5,4,5,545,Champions
191,305,6,455.12,4,3,4,434,Loyal Customers
192,5,7,560.37,5,3,4,534,Loyal Customers
193,1,9,662.08,5,3,4,534,Loyal Customers
194,1,13,1547.2,5,4,5,545,Champions
195,1,12,1309.83,5,4,5,545,Champions
196,1,8,900.6,5,3,5,535,Loyal Customers
197,1,10,1451.44,5,4,5,545,Champions
198,1,7,641.0699999999999,5,3,4,534,Loyal Customers
199,1,15,1435.9,5,4,5,545,Champions
200,1,10,1406.3,5,4,5,545,Champions
201,19,14,1833.54,5,4,5,545,Champions
202,1,8,636.91,5,3,4,534,Loyal Customers
203,1,11,1118.31,5,4,5,545,Champions
204,1,15,1285.73,5,4,5,545,Champions
205,180,8,964.23,4,3,5,435,Loyal Customers
206,1,13,1166.28,5,4,5,545,Champions
207,1,15,1396.33,5,4,5,545,Champions
208,1,16,1650.75,5,4,5,545,Champions
209,1,12,957.9100000000001,5,4,5,545,Champions
210,1,13,1067.05,5,4,5,545,Champions
211,1,12,1057.58,5,4,5,545,Champions
212,1,12,1123.8899999999999,5,4,5,545,Champions
213,1,12,979.19,5,4,5,545,Champions
214,1,15,2068.64,5,4,5,545,Champions
215,1,12,1278.79,5,4,5,545,Champions
216,1,12,1224.76,5,4,5,545,Champions
217,1,19,2065.06,5,4,5,545,Champions
218,1,13,1083.6000000000001,5,4,5,545,Champions
219,1,11,918.02,5,4,5,545,Champions
220,1,12,1299.17,5,4,5,545,Champions
221,1,15,1677.12,5,4,5,545,Champions
222,283,10,1182.62,4,4,5,445,Champions
223,1,12,1069.8600000000001,5,4,5,545,Champions
224,1,13,1699.33,5,4,5,545,Champions
225,108,21,2163.31,4,4,5,445,Champions
226,1,13,1033.15,5,4,5,545,Champions
227,36,10,875.0600000000001,5,4,5,545,Champions
228,12,21,1804.21,5,4,5,545,Champions
229,340,11,1431.23,4,4,5,445,Champions
230,1,17,1579.47,5,4,5,545,Champions
231,209,9,897.74,4,3,5,435,Loyal Customers
232,1,13,1468.22,5,4,5,545,Champions
233,243,7,1014.61,4,3,5,435,Loyal Customers
234,1,13,1735.26,5,4,5,545,Champions
235,226,13,1439.38,4,4,5,445,Champions
236,72,14,1731.86,4,4,5,445,Champions
237,1,14,1247.71,5,4,5,545,Champions
238,229,13,1239.32,4,4,5,445,Champions
239,1,10,1149.03,5,4,5,545,Champions
240,1,19,2611.3599999999997,5,4,5,545,Champions
241,1,8,617.7,5,3,4,534,Loyal Customers
242,1,14,1449.72,5,4,5,545,Champions
243,1,10,983.0,5,4,5,545,Champions
244,1,13,1599.02,5,4,5,545,Champions
245,1,15,1718.26,5,4,5,545,Champions
246,1,11,638.2,5,4,4,544,Champions
247,1,15,1750.77,5,4,5,545,Champions
248,1,14,1734.38,5,4,5,545,Champions
249,306,7,628.94,4,3,4,434,Loyal Customers
250,1,11,1472.23,5,4,5,545,Champions
251,1,13,1358.81,5,4,5,545,Champions
252,1,11,810.83,5,4,5,545,Champions
253,1,11,952.52,5,4,5,545,Champions
254,295,10,922.39,4,4,5,445,Champions
255,1,10,903.0799999999999,5,4,5,545,Champions
256,1,13,1406.91,5,4,5,545,Champions
257,211,12,1068.19,4,4,5,445,Champions
258,1,16,1532.3,5,4,5,545,Champions
259,1,14,1380.2,5,4,5,545,Champions
260,1,8,1016.1,5,3,5,535,Loyal Customers
261,1,15,1519.39,5,4,5,545,Champions
262,1,11,996.1,5,4,5,545,Champions
263,1,10,733.24,5,4,4,544,Champions
264,1,15,1274.94,5,4,5,545,Champions
265,1,15,1349.23,5,4,5,545,Champions
266,1,11,992.59,5,4,5,545,Champions
267,1,20,2021.7,5,4,5,545,Champions
268,1,9,579.37,5,3,4,534,Loyal Customers
269,1,15,1588.41,5,4,5,545,Champions
270,1,7,445.15999999999997,5,3,4,534,Loyal Customers
271,316,9,1045.35,4,3,5,435,Loyal Customers
272,1,13,1379.1,5,4,5,545,Champions
273,186,14,1256.26,4,4,5,445,Champions
274,72,10,859.64,4,4,5,445,Champions
275,1,8,755.85,5,3,4,534,Loyal Customers
276,186,8,776.23,4,3,4,434,Loyal Customers
277,1,16,1594.19,5,4,5,545,Champions
278,1,20,1846.32,5,4,5,545,Champions
279,1,14,1609.45,5,4,5,545,Champions
280,286,9,1080.94,4,3,5,435,Loyal Customers
281,1,11,1177.23,5,4,5,545,Champions
282,1,16,1806.33,5,4,5,545,Champions
283,1,12,1743.56,5,4,5,545,Champions
284,1,12,1253.54,5,4,5,545,Champions
285,163,13,1596.94,4,4,5,445,Champions
286,1,11,1335.41,5,4,5,545,Champions
287,575,6,599.87,3,3,4,334,Loyal Customers
288,182,13,962.22,4,4,5,445,Champions
289,1,16,1639.71,5,4,5,545,Champions
290,1,12,1223.42,5,4,5,545,Champions
291,1,10,1172.63,5,4,5,545,Champions
292,1,10,1620.21,5,4,5,545,Champions
293,1,16,2112.03,5,4,5,545,Champions
294,1,14,1408.97,5,4,5,545,Champions
295,118,9,706.04,4,3,4,434,Loyal Customers
296,405,12,1273.18,3,4,5,345,Loyal Customers
297,1,6,791.3,5,3,4,534,Loyal Customers
298,1,16,1498.61,5,4,5,545,Champions
299,1,10,562.62,5,4,4,544,Champions
300,1,13,1370.26,5,4,5,545,Champions
301,1,16,1342.82,5,4,5,545,Champions
302,272,11,879.2,4,4,5,445,Champions
303,1,13,1814.27,5,4,5,545,Champions
304,1,19,2286.65,5,4,5,545,Champions
305,1,9,929.11,5,3,5,535,Loyal Customers
306,1,6,546.0799999999999,5,3,4,534,Loyal Customers
307,1,7,954.31,5,3,5,535,Loyal Customers
308,1,15,1478.9,5,4,5,545,Champions
309,1,13,953.31,5,4,5,545,Champions
310,172,11,853.2199999999999,4,4,5,445,Champions
311,1,11,917.32,5,4,5,545,Champions
312,1,14,1126.95,5,4,5,545,Champions
313,71,10,870.03,4,4,5,445,Champions
314,1,13,1573.46,5,4,5,545,Champions
315,1,11,1212.23,5,4,5,545,Champions
316,202,10,936.11,4,4,5,445,Champions
317,1,13,962.44,5,4,5,545,Champions
318,1,5,415.31,5,3,4,534,Loyal Customers
319,1,15,1684.02,5,4,5,545,Champions
320,1,8,631.3199999999999,5,3,4,534,Loyal Customers
321,1,10,988.05,5,4,5,545,Champions
322,1,15,1429.23,5,4,5,545,Champions
323,100,12,1166.37,4,4,5,445,Champions
324,1,9,1189.43,5,3,5,535,Loyal Customers
325,1,9,912.42,5,3,5,535,Loyal Customers
326,1,13,1617.71,5,4,5,545,Champions
327,1,5,627.18,5,3,4,534,Loyal Customers
328,13,10,859.4399999999999,5,4,5,545,Champions
329,1,19,1600.94,5,4,5,545,Champions
330,1,19,1652.92,5,4,5,545,Champions
331,1,17,1562.19,5,4,5,545,Champions
332,1,17,1566.0,5,4,5,545,Champions
333,1,10,878.39,5,4,5,545,Champions
334,1,9,914.03,5,3,5,535,Loyal Customers
335,8,11,1159.06,5,4,5,545,Champions
336,1,19,1518.52,5,4,5,545,Champions
337,1,8,455.29,5,3,4,534,Loyal Customers
338,1,10,494.81,5,4,4,544,Champions
339,264,13,1365.32,4,4,5,445,Champions
340,1,8,738.49,5,3,4,534,Loyal Customers
341,1,12,898.84,5,4,5,545,Champions
342,1,12,853.19,5,4,5,545,Champions
343,203,10,1053.16,4,4,5,445,Champions
344,1,15,1929.19,5,4,5,545,Champions
345,1,14,1629.77,5,4,5,545,Champions
346,1,14,1195.87,5,4,5,545,Champions
347,43,16,1484.6399999999999,5,4,5,545,Champions
348,315,6,749.07,4,3,4,434,Loyal Customers
349,15,12,1289.47,5,4,5,545,Champions
350,1,10,1418.3,5,4,5,545,Champions
351,1,12,1768.99,5,4,5,545,Champions
352,152,10,953.2,4,4,5,445,Champions
353,1,15,1247.31,5,4,5,545,Champions
354,1,11,1160.8600000000001,5,4,5,545,Champions
355,1,11,1122.1,5,4,5,545,Champions
356,116,14,1761.25,4,4,5,445,Champions
357,1,14,1405.93,5,4,5,545,Champions
358,79,7,761.3299999999999,4,3,4,434,Loyal Customers
359,1,10,1059.16,5,4,5,545,Champions
360,249,11,1131.72,4,4,5,445,Champions
361,1,15,1619.52,5,4,5,545,Champions
362,1,16,1636.8,5,4,5,545,Champions
363,227,9,689.94,4,3,4,434,Loyal Customers
364,1,16,1797.9,5,4,5,545,Champions
365,1,12,1033.8600000000001,5,4,5,545,Champions
366,1,11,881.69,5,4,5,545,Champions
367,1,7,878.08,5,3,5,535,Loyal Customers
368,1,12,1591.28,5,4,5,545,Champions
369,1,21,2047.15,5,4,5,545,Champions
370,1,16,1988.69,5,4,5,545,Champions
371,1,6,1052.12,5,3,5,535,Loyal Customers
372,1,9,636.56,5,3,4,534,Loyal Customers
373,106,6,680.16,4,3,4,434,Loyal Customers
374,1,9,1350.96,5,3,5,535,Loyal Customers
375,1,8,772.15,5,3,4,534,Loyal Customers
376,1,16,1809.25,5,4,5,545,Champions
377,224,14,1568.37,4,4,5,445,Champions
378,100,13,1268.33,4,4,5,445,Champions
379,1,8,1051.99,5,3,5,535,Loyal Customers
380,250,8,760.43,4,3,4,434,Loyal Customers
381,1,14,1556.55,5,4,5,545,Champions
382,1,15,1359.77,5,4,5,545,Champions
383,1,9,1034.02,5,3,5,535,Loyal Customers
384,1,16,1420.49,5,4,5,545,Champions
385,1,13,1455.97,5,4,5,545,Champions
386,1,12,1270.6200000000001,5,4,5,545,Champions
387,1,22,2648.57,5,4,5,545,Champions
388,1,18,1478.05,5,4,5,545,Champions
389,1,8,898.02,5,3,5,535,Loyal Customers
390,1,13,1192.95,5,4,5,545,Champions
391,1,9,659.67,5,3,4,534,Loyal Customers
392,1,12,1265.55,5,4,5,545,Champions
393,1,18,1794.1399999999999,5,4,5,545,Champions
394,1,19,2266.64,5,4,5,545,Champions
395,5,9,1187.31,5,3,5,535,Loyal Customers
396,189,10,779.5699999999999,4,4,4,444,Champions
397,1,9,772.37,5,3,4,534,Loyal Customers
398,1,13,1776.23,5,4,5,545,Champions
399,1,11,1082.42,5,4,5,545,Champions
400,1,11,1083.02,5,4,5,545,Champions
401,1,9,995.01,5,3,5,535,Loyal Customers
402,1,16,1681.9899999999998,5,4,5,545,Champions
403,1,11,972.0999999999999,5,4,5,545,Champions
404,1,8,823.35,5,3,5,535,Loyal Customers
405,1,16,1617.62,5,4,5,545,Champions
406,210,9,909.98,4,3,5,435,Loyal Customers
407,1,16,1715.7,5,4,5,545,Champions
408,1,17,1448.03,5,4,5,545,Champions
409,1,11,1605.89,5,4,5,545,Champions
410,1,11,1390.78,5,4,5,545,Champions
411,160,13,1388.8,4,4,5,445,Champions
412,1,14,1226.3899999999999,5,4,5,545,Champions
413,308,11,1150.28,4,4,5,445,Champions
414,1,6,633.3,5,3,4,534,Loyal Customers
415,1,9,634.07,5,3,4,534,Loyal Customers
416,1,11,550.26,5,4,4,544,Champions
417,1,17,1563.77,5,4,5,545,Champions
418,1,9,637.67,5,3,4,534,Loyal Customers
419,1,13,1515.7,5,4,5,545,Champions
420,1,12,1820.25,5,4,5,545,Champions
421,1,10,1676.88,5,4,5,545,Champions
422,1,13,1270.6399999999999,5,4,5,545,Champions
423,323,12,1153.3400000000001,4,4,5,445,Champions
424,1,7,843.91,5,3,5,535,Loyal Customers
425,90,11,1476.74,4,4,5,445,Champions
426,1,6,440.11,5,3,4,534,Loyal Customers
427,1,8,1059.46,5,3,5,535,Loyal Customers
428,1,11,1013.7,5,4,5,545,Champions
429,96,13,1136.83,4,4,5,445,Champions
430,134,12,1227.8,4,4,5,445,Champions
431,1,14,1517.38,5,4,5,545,Champions
432,125,11,949.75,4,4,5,445,Champions
433,1,17,1837.81,5,4,5,545,Champions
434,1,18,1545.8600000000001,5,4,5,545,Champions
435,549,9,822.99,3,3,5,335,Loyal Customers
436,1,11,1048.77,5,4,5,545,Champions
437,14,10,870.0,5,4,5,545,Champions
438,262,10,1169.28,4,4,5,445,Champions
439,1,11,1294.73,5,4,5,545,Champions
440,242,10,880.0,4,4,5,445,Champions
441,1,12,1055.78,5,4,5,545,Champions
442,148,6,670.8100000000001,4,3,4,434,Loyal Customers
443,51,10,470.15999999999997,5,4,4,544,Champions
444,520,7,607.1899999999999,3,3,4,334,Loyal Customers
445,1,9,998.63,5,3,5,535,Loyal Customers
446,1,11,1146.15,5,4,5,545,Champions
447,1,9,478.55,5,3,4,534,Loyal Customers
448,99,11,844.27,4,4,5,445,Champions
449,1,9,807.12,5,3,5,535,Loyal Customers
450,1,19,1672.99,5,4,5,545,Champions
451,1,5,406.07,5,3,4,534,Loyal Customers
452,31,8,682.4300000000001,5,3,4,534,Loyal Customers
453,1,13,1451.04,5,4,5,545,Champions
454,1,6,599.13,5,3,4,534,Loyal Customers
455,1,9,948.23,5,3,5,535,Loyal Customers
456,1,13,1651.29,5,4,5,545,Champions
457,1,14,1785.48,5,4,5,545,Champions
458,1,17,1666.77,5,4,5,545,Champions
459,1,12,1227.8899999999999,5,4,5,545,Champions
460,1,12,830.88,5,4,5,545,Champions
461,1,6,699.3199999999999,5,3,4,534,Loyal Customers
462,1,15,1885.76,5,4,5,545,Champions
463,1,10,1195.95,5,4,5,545,Champions
464,205,9,1105.23,4,3,5,435,Loyal Customers
465,240,10,859.46,4,4,5,445,Champions
466,1,15,1523.65,5,4,5,545,Champions
467,1,9,779.01,5,3,4,534,Loyal Customers
468,1,12,1539.87,5,4,5,545,Champions
469,1,9,881.1400000000001,5,3,5,535,Loyal Customers
470,1,9,799.6800000000001,5,3,5,535,Loyal Customers
471,1,10,941.21,5,4,5,545,Champions
472,1,8,814.72,5,3,5,535,Loyal Customers
473,1,10,592.35,5,4,4,544,Champions
474,57,12,1207.41,5,4,5,545,Champions
475,124,13,1358.15,4,4,5,445,Champions
476,1,10,905.97,5,4,5,545,Champions
477,1,9,897.96,5,3,5,535,Loyal Customers
478,1,10,854.4300000000001,5,4,5,545,Champions
479,1,11,727.65,5,4,4,544,Champions
480,1,15,1325.6100000000001,5,4,5,545,Champions
481,496,9,1137.57,3,3,5,335,Loyal Customers
482,1,13,1264.56,5,4,5,545,Champions
483,1,11,1190.0800000000002,5,4,5,545,Champions
484,1,13,1432.6499999999999,5,4,5,545,Champions
485,1,10,1069.72,5,4,5,545,Champions
486,1,7,932.87,5,3,5,535,Loyal Customers
487,1,11,1103.03,5,4,5,545,Champions
488,1,7,525.89,5,3,4,534,Loyal Customers
489,369,13,1444.08,4,4,5,445,Champions
490,174,14,1249.87,4,4,5,445,Champions
491,1,7,470.19000000000005,5,3,4,534,Loyal Customers
492,1,7,831.24,5,3,5,535,Loyal Customers
493,1,12,1295.61,5,4,5,545,Champions
494,304,6,476.68,4,3,4,434,Loyal Customers
495,1,4,721.23,5,3,4,534,Loyal Customers
496,1,14,1908.3000000000002,5,4,5,545,Champions
497,1,9,1076.54,5,3,5,535,Loyal Customers
498,1,14,1857.7,5,4,5,545,Champions
499,1,11,1182.18,5,4,5,545,Champions
500,1,13,1026.3,5,4,5,545,Champions
501,1,10,1116.9,5,4,5,545,Champions
502,1,12,824.1999999999999,5,4,5,545,Champions
503,1,10,707.3199999999999,5,4,4,544,Champions
504,1,6,554.45,5,3,4,534,Loyal Customers
505,1,16,1593.8799999999999,5,4,5,545,Champions
506,1,16,1413.09,5,4,5,545,Champions
507,1,13,1316.8,5,4,5,545,Champions
508,224,11,1372.43,4,4,5,445,Champions
509,1,6,695.2,5,3,4,534,Loyal Customers
510,1,12,1073.76,5,4,5,545,Champions
511,67,11,1116.59,4,4,5,445,Champions
512,1,13,1094.31,5,4,5,545,Champions
513,1,16,1904.74,5,4,5,545,Champions
514,1,15,1150.63,5,4,5,545,Champions
515,30,9,865.68,5,3,5,535,Loyal Customers
516,36,14,1062.28,5,4,5,545,Champions
517,1,13,1487.9399999999998,5,4,5,545,Champions
518,1,13,1257.94,5,4,5,545,Champions
519,1,14,1416.73,5,4,5,545,Champions
520,1,6,686.4,5,3,4,534,Loyal Customers
521,1,13,1269.84,5,4,5,545,Champions
522,33,19,2031.15,5,4,5,545,Champions
523,1,18,2131.63,5,4,5,545,Champions
524,1,17,1598.79,5,4,5,545,Champions
525,1,10,555.99,5,4,4,544,Champions
526,1,13,1392.36,5,4,5,545,Champions
527,1,10,570.6600000000001,5,4,4,544,Champions
528,60,12,1789.52,5,4,5,545,Champions
529,1,15,952.9699999999999,5,4,5,545,Champions
530,1,12,1305.5,5,4,5,545,Champions
531,230,11,1086.81,4,4,5,445,Champions
532,1,13,1286.27,5,4,5,545,Champions
533,1,10,1265.83,5,4,5,545,Champions
534,1,15,1496.03,5,4,5,545,Champions
535,19,12,1026.24,5,4,5,545,Champions
536,1,12,1386.48,5,4,5,545,Champions
537,1,14,1541.31,5,4,5,545,Champions
538,201,7,468.82,4,3,4,434,Loyal Customers
539,1,10,1005.6,5,4,5,545,Champions
540,1,10,1066.68,5,4,5,545,Champions
541,1,11,1385.18,5,4,5,545,Champions
542,1,16,1422.08,5,4,5,545,Champions
543,1,11,1490.42,5,4,5,545,Champions
544,1,16,2167.42,5,4,5,545,Champions
545,2,11,1413.8600000000001,5,4,5,545,Champions
546,434,9,862.53,3,3,5,335,Loyal Customers
547,1,10,756.39,5,4,4,544,Champions
548,1,9,1303.3899999999999,5,3,5,535,Loyal Customers
549,1,14,1440.17,5,4,5,545,Champions
550,1,9,1119.73,5,3,5,535,Loyal Customers
551,1,14,1035.53,5,4,5,545,Champions
552,1,9,1079.71,5,3,5,535,Loyal Customers
553,248,10,940.65,4,4,5,445,Champions
554,1,12,627.93,5,4,4,544,Champions
555,1,16,2104.4900000000002,5,4,5,545,Champions
556,1,19,2183.4900000000002,5,4,5,545,Champions
557,1,13,1185.54,5,4,5,545,Champions
558,1,11,907.63,5,4,5,545,Champions
559,1,10,1081.45,5,4,5,545,Champions
560,341,8,987.69,4,3,5,435,Loyal Customers
561,1,11,963.09,5,4,5,545,Champions
562,1,8,872.73,5,3,5,535,Loyal Customers
563,1,16,2016.21,5,4,5,545,Champions
564,1,10,740.46,5,4,4,544,Champions
565,75,10,963.67,4,4,5,445,Champions
566,1,12,1214.87,5,4,5,545,Champions
567,1,16,2192.2,5,4,5,545,Champions
568,1,12,1012.0,5,4,5,545,Champions
569,1,12,1712.89,5,4,5,545,Champions
570,1,11,1197.33,5,4,5,545,Champions
571,1,17,1609.24,5,4,5,545,Champions
572,1,10,1348.02,5,4,5,545,Champions
573,1,6,773.8199999999999,5,3,4,534,Loyal Customers
574,1,7,497.69,5,3,4,534,Loyal Customers
